2025-04-11 19:35:18 configure systemd:amd64 245.4-4ubuntu3.24 <none>
2025-04-11 19:35:18 status unpacked systemd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:18 status half-configured systemd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:19 status installed systemd:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:19 startup archives unpack
2025-04-11 19:35:19 install systemd-sysv:amd64 <none> 245.4-4ubuntu3.24
2025-04-11 19:35:19 status half-installed systemd-sysv:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:19 status unpacked systemd-sysv:amd64 245.4-4ubuntu3.24
2025-04-11 19:35:19 install perl-modules-5.30:all <none> 5.30.0-9ubuntu0.5
2025-04-11 19:35:19 status half-installed perl-modules-5.30:all 5.30.0-9ubuntu0.5
2025-04-11 19:35:19 status unpacked perl-modules-5.30:all 5.30.0-9ubuntu0.5
2025-04-11 19:35:19 install libgdbm6:amd64 <none> 1.18.1-5
2025-04-11 19:35:19 status half-installed libgdbm6:amd64 1.18.1-5
2025-04-11 19:35:19 status unpacked libgdbm6:amd64 1.18.1-5
2025-04-11 19:35:19 install libgdbm-compat4:amd64 <none> 1.18.1-5
2025-04-11 19:35:19 status half-installed libgdbm-compat4:amd64 1.18.1-5
2025-04-11 19:35:19 status unpacked libgdbm-compat4:amd64 1.18.1-5
2025-04-11 19:35:20 install libperl5.30:amd64 <none> 5.30.0-9ubuntu0.5
2025-04-11 19:35:20 status half-installed libperl5.30:amd64 5.30.0-9ubuntu0.5
2025-04-11 19:35:20 status unpacked libperl5.30:amd64 5.30.0-9ubuntu0.5
2025-04-11 19:35:21 install perl:amd64 <none> 5.30.0-9ubuntu0.5
2025-04-11 19:35:21 status half-installed perl:amd64 5.30.0-9ubuntu0.5
2025-04-11 19:35:21 status unpacked perl:amd64 5.30.0-9ubuntu0.5
2025-04-11 19:35:21 install libapr1:amd64 <none> 1.6.5-1ubuntu1.1
2025-04-11 19:35:21 status half-installed libapr1:amd64 1.6.5-1ubuntu1.1
2025-04-11 19:35:21 status unpacked libapr1:amd64 1.6.5-1ubuntu1.1
2025-04-11 19:35:21 install libaprutil1:amd64 <none> 1.6.1-4ubuntu2.2
2025-04-11 19:35:21 status half-installed libaprutil1:amd64 1.6.1-4ubuntu2.2
2025-04-11 19:35:21 status unpacked libaprutil1:amd64 1.6.1-4ubuntu2.2
2025-04-11 19:35:21 install libaprutil1-dbd-sqlite3:amd64 <none> 1.6.1-4ubuntu2.2
2025-04-11 19:35:21 status half-installed libaprutil1-dbd-sqlite3:amd64 1.6.1-4ubuntu2.2
2025-04-11 19:35:21 status unpacked libaprutil1-dbd-sqlite3:amd64 1.6.1-4ubuntu2.2
2025-04-11 19:35:21 install libroken18-heimdal:amd64 <none> 7.7.0+dfsg-1ubuntu1.4
